wissen ||| know
und ||| of travel and
und ||| travel and
und ||| travel and one
und ||| and
und ||| and one
und ||| and one of
forschung ||| of ethnographic research
forschung ||| ethnographic research
forschung ||| research
tage ||| live amongst those
tage ||| amongst those
tage ||| those
beim ||| have
beim ||| have not
beim ||| have not forgotten
alten ||| forgotten the old
alten ||| the old
alten ||| the old ways
alten ||| old
alten ||| old ways
alten ||| old ways ,
ihre ||| still feel their
ihre ||| feel their
ihre vergangenheit ||| feel their past
ihre ||| their
ihre vergangenheit ||| their past
vergangenheit ||| past
wind ||| the wind
wind ||| the wind ,
wind ||| wind
wind ||| wind ,
wind ||| wind , touch
regen ||| , touch it
regen ||| touch it
regen ||| touch it in
regen ||| it
regen ||| it in
regen ||| it in stones
gemeinsam ||| stones polished by
gemeinsam ||| polished by
gemeinsam ||| polished by rain
gemeinsam ||| by
gemeinsam ||| by rain
gemeinsam ||| by rain ,
blättern ||| the bitter leaves
blättern ||| bitter leaves
blättern ||| bitter leaves of
blättern ||| leaves
blättern ||| leaves of
pflanzen ||| of plants
pflanzen ||| plants
wissen ||| know
anpassung ||| journey beyond
anpassung ||| beyond
mythen ||| the myths
mythen ||| myths
inuit ||| the inuit
inuit ||| the inuit elders
inuit ||| inuit
inuit ||| inuit elders
inuit ||| inuit elders still
gruppe ||| to really
gruppe ||| really
existiert ||| remember
existiert ||| remember the
existiert ||| remember the central
welt ||| that the world
welt ||| the world
welt ||| the world in
welt ||| world
welt ||| world in
himalaya ||| in which
himalaya ||| which
wir ||| we
wir ||| we live
nicht ||| not
nicht ||| not exist
nicht ||| not exist in
sinn ||| some absolute sense
sinn ||| absolute sense
sinn ||| absolute sense ,
sinn ||| sense
sinn ||| sense ,
sondern ||| , but
sondern ||| , but is
sondern ||| but
sondern ||| but is
sondern ||| but is just
reisen ||| is just one
reisen ||| just one
reisen ||| one
modell ||| model
modell ||| model of
realität ||| of reality
realität ||| of reality ,
realität ||| reality
realität ||| reality ,
realität ||| reality , the
folge ||| , the consequence
folge ||| the consequence
folge ||| the consequence of
folge ||| consequence
folge ||| consequence of
folge ||| consequence of one
bestimmten ||| of one particular
bestimmten ||| one particular
bestimmten ||| one particular set
bestimmten ||| particular
bestimmten ||| particular set
bestimmten ||| particular set of
unsere ||| choices that our
unsere ||| that our
unsere ||| that our lineage
unsere ||| our
unsere ||| our lineage
unsere ||| our lineage made
generationen ||| , many generations
generationen ||| many generations
generationen ||| generations
vor ||| ago
und ||| and
und ||| and of
und natürlich ||| and of course
natürlich ||| of course
natürlich ||| of course ,
natürlich ||| course
natürlich ||| course ,
wir ||| , we
wir alle ||| , we all
wir ||| we
wir alle ||| we all
alle ||| all
. ||| adaptive imperatives .
. ||| imperatives .
. ||| .
alle ||| 're all
alle geboren ||| 're all born
alle ||| all
alle geboren ||| all born
geboren ||| born
bringen ||| we all bring
bringen ||| all bring
bringen ||| all bring our
bringen ||| bring
bringen ||| bring our
bringen kinder ||| bring our children
kinder ||| our children
kinder ||| our children into
kinder ||| children
kinder ||| children into
kinder zur ||| children into the
zur ||| into the
zur welt ||| into the world
zur ||| the
zur welt ||| the world
zur welt ||| the world .
welt ||| world
welt ||| world .
wir ||| we
wir ||| we go
wir ||| we go through
durchlaufen initiationsrituale ||| through initiation rites
durchlaufen initiationsrituale ||| initiation rites
durchlaufen initiationsrituale . ||| initiation rites .
durchlaufen initiationsrituale ||| rites
durchlaufen initiationsrituale . ||| rites .
. ||| .
mit ||| to deal with
mit ||| deal with
mit ||| with
somit ||| so
somit sollte es ||| so it should
es ||| it
sollte es ||| it should
sollte ||| should
dass ||| that
dass ||| that we
alle ||| we all
alle ||| we all sing
alle ||| all
alle ||| all sing
alle ||| all sing ,
tanzen ||| we all dance
tanzen ||| all dance
tanzen ||| all dance ,
tanzen ||| dance
tanzen ||| dance ,
tanzen ||| dance , we
. ||| have art .
. ||| art .
. ||| .
aber ||| but
aber ||| but what
aber ||| but what 's
interessant ||| what 's interesting
interessant ||| 's interesting
interessant ||| interesting
einzigartige ||| unique
, ||| the song ,
, ||| song ,
, ||| song , the
, ||| ,
, ||| , the
, ||| , the rhythm
in ||| in
in ||| in every
kultur ||| every culture
kultur . ||| every culture .
kultur ||| culture
kultur . ||| culture .
. ||| .
ob ||| and whether
ob ||| whether
ist ||| is
wäldern ||| the forests
wäldern ||| forests
voodoo-akolythen ||| the voodoo
voodoo-akolythen ||| the voodoo acolytes
voodoo-akolythen ||| voodoo
voodoo-akolythen ||| voodoo acolytes
voodoo-akolythen ||| voodoo acolytes in
haiti ||| acolytes in haiti
haiti ||| in haiti
haiti ||| in haiti ,
haiti ||| haiti
haiti ||| haiti ,
haiti ||| haiti , or
anden ||| of the andes
anden ||| the andes
anden ||| the andes ,
anden ||| andes
anden ||| andes ,
anden ||| andes , or
dies ||| this
dies ||| this is
dies ||| this is incidentally
gereist ||| traveled
mitten ||| into
mitten ||| into the
mitten ||| into the desert
mit ||| the desert with
mit ||| desert with
mit ||| desert with a
mit ||| with
mit ||| with a
monat ||| a month
monat ||| month
vor ||| ago
vor ||| ago --
vor ||| ago -- or
welt ||| of the world
welt ||| the world
welt ||| world
all ||| all
diese ||| these
diese ||| these peoples
lehren ||| peoples teach
lehren uns ||| peoples teach us
lehren ||| teach
lehren uns ||| teach us
uns ||| us
dass ||| that
gibt ||| there
gibt ||| there are
noch ||| orienting yourself in
noch ||| yourself in
noch ||| in
erde ||| earth
und ||| and
ist eine ||| is
ist eine ||| is an
ist eine ||| is an idea
wenn ||| if
wenn man ||| if you
wenn man ||| if you think
man ||| you
man ||| you think
man darüber ||| you think about
darüber ||| think about
darüber ||| think about it
darüber ||| about
darüber ||| about it
darüber ||| about it ,
kann ||| it , can
kann ||| , can
kann ||| , can only
kann ||| can
kann ||| can only
mit ||| you with
mit hoffnung ||| you with hope
mit ||| with
mit hoffnung ||| with hope
hoffnung ||| hope
zusammen ||| together
unzähligen ||| myriad
unzähligen kulturen ||| myriad cultures
kulturen ||| cultures
welt ||| the world
welt ||| world
bilden ||| make
bilden ||| make up
ein ||| up a
ein ||| a
lebensnetz ||| web
lebensnetz ||| web of
lebensnetz ||| web of spiritual
leben ||| of spiritual life
leben ||| spiritual life
leben ||| life
ist ||| , and is
ist ||| and is
ist ||| is
genauso wichtig ist ||| is as important
genauso ||| as
genauso wichtig ||| as important
wichtig ||| important
für ||| to
für ||| to the
für ||| to the well-being
biologische ||| is the biological
biologische ||| the biological
biologische ||| the biological web
biologische ||| biological
biologische ||| biological web
biologische ||| biological web of
man ||| life that you
man ||| that you
man ||| you
wohl ||| know
wohl ||| know as
wohl ||| know as a
biosphäre ||| as a biosphere
biosphäre ||| a biosphere
biosphäre ||| biosphere
. ||| .
man ||| you
man ||| you might
vorstellen ||| might think
vorstellen ||| think
dieses ||| this
dieses ||| this cultural
lebensnetz ||| cultural web
lebensnetz ||| cultural web of
lebensnetz ||| web
lebensnetz ||| web of
lebensnetz ||| web of life
bewusstseins ||| of life as
bewusstseins ||| life as
bewusstseins ||| as
aller ||| total of all
aller ||| of all
aller gedanken ||| of all thoughts
aller ||| all
aller gedanken ||| all thoughts
aller gedanken ||| all thoughts and
gedanken ||| thoughts
gedanken ||| thoughts and
träume ||| and dreams
träume ||| and dreams ,
träume ||| dreams
träume ||| dreams ,
mythen ||| , myths
mythen ||| , myths ,
mythen ||| myths
mythen ||| myths ,
mythen ideen ||| myths , ideas
ideen ||| , ideas
ideen ||| , ideas ,
ideen ||| ideas
ideen ||| ideas ,
ideen ||| ideas , inspirations
inspirationen ||| intuitions brought into
inspirationen ||| brought into
inspirationen ||| brought into being
inspirationen ||| into
inspirationen ||| into being
inspirationen ||| into being by
menschlichen ||| by the human
